%[Name]
%Series 1 at Line 1

%[Data]
%Y %[ m ],Velocity %[ m s^-1 ]
2.99999993e-002, 1.55140436e+000
2.88775507e-002, 1.55017364e+000
2.77551021e-002, 1.54897809e+000
2.66326535e-002, 1.54755878e+000
2.55102050e-002, 1.54610682e+000
2.43877564e-002, 1.54453993e+000
2.32653078e-002, 1.54285777e+000
2.21428592e-002, 1.54105365e+000
2.10204106e-002, 1.53908861e+000
1.98979620e-002, 1.53698432e+000
1.87755134e-002, 1.53469217e+000
1.76530648e-002, 1.53221011e+000
1.65306162e-002, 1.52952170e+000
1.54081676e-002, 1.52660966e+000
1.42857190e-002, 1.52324951e+000
1.31632704e-002, 1.51817572e+000
1.20408218e-002, 1.50427210e+000
1.09183732e-002, 1.46347368e+000
9.79592465e-003, 1.36317730e+000
8.67347606e-003, 1.19643772e+000
7.55102700e-003, 9.68883216e-001
6.42857794e-003, 6.92357183e-001
5.30612888e-003, 3.74520063e-001
4.18367982e-003, 1.38954163e-001
3.06123076e-003, 1.82111785e-001
1.93878182e-003, 3.74629229e-001
8.16332875e-004, 5.79601526e-001
-3.06116068e-004, 7.75771856e-001
-1.42856501e-003, 9.62246716e-001
-2.55101407e-003, 1.13730597e+000
-3.67346313e-003, 1.29074216e+000
-4.79591219e-003, 1.40982151e+000
-5.91836125e-003, 1.48004282e+000
-7.04081031e-003, 1.50959337e+000
-8.16325936e-003, 1.51908982e+000
-9.28570796e-003, 1.52381873e+000
-1.04081566e-002, 1.52742076e+000
-1.15306051e-002, 1.53059363e+000
-1.26530537e-002, 1.53342927e+000
-1.37755023e-002, 1.53597498e+000
-1.48979509e-002, 1.53826082e+000
-1.60204004e-002, 1.54031956e+000
-1.71428490e-002, 1.54217863e+000
-1.82652976e-002, 1.54386020e+000
-1.93877462e-002, 1.54539084e+000
-2.05101948e-002, 1.54677391e+000
-2.16326434e-002, 1.54804134e+000
-2.27550920e-002, 1.54919326e+000
-2.38775406e-002, 1.55024016e+000
-2.49999892e-002, 1.55119586e+000


%[Name]
%Series 2 at Line 2

%[Data]
%Y %[ m ],Velocity %[ m s^-1 ]
2.99999993e-002, 1.53494763e+000
2.88775507e-002, 1.53356755e+000
2.77551021e-002, 1.53211606e+000
2.66326535e-002, 1.53059185e+000
2.55102050e-002, 1.52898502e+000
2.43877564e-002, 1.52729404e+000
2.32653078e-002, 1.52550590e+000
2.21428592e-002, 1.52361977e+000
2.10204106e-002, 1.52161920e+000
1.98979620e-002, 1.51950133e+000
1.87755134e-002, 1.51724625e+000
1.76530648e-002, 1.51485169e+000
1.65306162e-002, 1.51229060e+000
1.54081676e-002, 1.50954700e+000
1.42857190e-002, 1.50644386e+000
1.31632704e-002, 1.50208533e+000
1.20408218e-002, 1.49160051e+000
1.09183732e-002, 1.46088922e+000
9.79592465e-003, 1.38411391e+000
8.67347606e-003, 1.25652921e+000
7.55102700e-003, 1.09396470e+000
6.42857794e-003, 9.26511586e-001
5.30612888e-003, 7.88441539e-001
4.18367982e-003, 7.10704088e-001
3.06123076e-003, 7.12468147e-001
1.93878182e-003, 7.80395150e-001
8.16332875e-004, 8.88805211e-001
-3.06116068e-004, 1.01414275e+000
-1.42856501e-003, 1.14245427e+000
-2.55101407e-003, 1.26328969e+000
-3.67346313e-003, 1.36663032e+000
-4.79591219e-003, 1.44134879e+000
-5.91836125e-003, 1.48087144e+000
-7.04081031e-003, 1.49559832e+000
-8.16325936e-003, 1.50113630e+000
-9.28570796e-003, 1.50458670e+000
-1.04081566e-002, 1.50747120e+000
-1.15306051e-002, 1.51004672e+000
-1.26530537e-002, 1.51238143e+000
-1.37755023e-002, 1.51450908e+000
-1.48979509e-002, 1.51645958e+000
-1.60204004e-002, 1.51824939e+000
-1.71428490e-002, 1.51990080e+000
-1.82652976e-002, 1.52142501e+000
-1.93877462e-002, 1.52283859e+000
-2.05101948e-002, 1.52414858e+000
-2.16326434e-002, 1.52536714e+000
-2.27550920e-002, 1.52649820e+000
-2.38775406e-002, 1.52755213e+000
-2.49999892e-002, 1.52853000e+000


%[Name]
%Series 3 at Line 3

%[Data]
%Y %[ m ],Velocity %[ m s^-1 ]
2.99999993e-002, 1.53742325e+000
2.88775507e-002, 1.53661954e+000
2.77551021e-002, 1.53578508e+000
2.66326535e-002, 1.53491890e+000
2.55102050e-002, 1.53401625e+000
2.43877564e-002, 1.53307474e+000
2.32653078e-002, 1.53208721e+000
2.21428592e-002, 1.53105044e+000
2.10204106e-002, 1.52995348e+000
1.98979620e-002, 1.52879131e+000
1.87755134e-002, 1.52754700e+000
1.76530648e-002, 1.52621186e+000
1.65306162e-002, 1.52475202e+000
1.54081676e-002, 1.52309930e+000
1.42857190e-002, 1.52076006e+000
1.31632704e-002, 1.51516879e+000
1.20408218e-002, 1.49506414e+000
1.09183732e-002, 1.44497001e+000
9.79592465e-003, 1.36064506e+000
8.67347606e-003, 1.25616407e+000
7.55102700e-003, 1.14698076e+000
6.42857794e-003, 1.04837477e+000
5.30612888e-003, 9.74779069e-001
4.18367982e-003, 9.36245501e-001
3.06123076e-003, 9.39378321e-001
1.93878182e-003, 9.79349852e-001
8.16332875e-004, 1.04673815e+000
-3.06116068e-004, 1.12980068e+000
-1.42856501e-003, 1.21952641e+000
-2.55101407e-003, 1.30776668e+000
-3.67346313e-003, 1.38699198e+000
-4.79591219e-003, 1.44975567e+000
-5.91836125e-003, 1.48978174e+000
-7.04081031e-003, 1.50803423e+000
-8.16325936e-003, 1.51412249e+000
-9.28570796e-003, 1.51653183e+000
-1.04081566e-002, 1.51807940e+000
-1.15306051e-002, 1.51932907e+000
-1.26530537e-002, 1.52039754e+000
-1.37755023e-002, 1.52132630e+000
-1.48979509e-002, 1.52214384e+000
-1.60204004e-002, 1.52286744e+000
-1.71428490e-002, 1.52351391e+000
-1.82652976e-002, 1.52409339e+000
-1.93877462e-002, 1.52461720e+000
-2.05101948e-002, 1.52509129e+000
-2.16326434e-002, 1.52552295e+000
-2.27550920e-002, 1.52591574e+000
-2.38775406e-002, 1.52627468e+000
-2.49999892e-002, 1.52660096e+000


%[Name]
%Series 4 at Line 4

%[Data]
%Y %[ m ],Velocity %[ m s^-1 ]
2.99999993e-002, 1.54375589e+000
2.88775507e-002, 1.54330456e+000
2.77551021e-002, 1.54283059e+000
2.66326535e-002, 1.54233301e+000
2.55102050e-002, 1.54180658e+000
2.43877564e-002, 1.54124928e+000
2.32653078e-002, 1.54065204e+000
2.21428592e-002, 1.54001188e+000
2.10204106e-002, 1.53931618e+000
1.98979620e-002, 1.53855848e+000
1.87755134e-002, 1.53771842e+000
1.76530648e-002, 1.53677642e+000
1.65306162e-002, 1.53563726e+000
1.54081676e-002, 1.53386033e+000
1.42857190e-002, 1.52865851e+000
1.31632704e-002, 1.51231396e+000
1.20408218e-002, 1.47425163e+000
1.09183732e-002, 1.41493428e+000
9.79592465e-003, 1.34094954e+000
8.67347606e-003, 1.26220632e+000
7.55102700e-003, 1.18730605e+000
6.42857794e-003, 1.12375093e+000
5.30612888e-003, 1.07882202e+000
4.18367982e-003, 1.05688190e+000
3.06123076e-003, 1.06096828e+000
1.93878182e-003, 1.08849013e+000
8.16332875e-004, 1.13496935e+000
-3.06116068e-004, 1.19388235e+000
-1.42856501e-003, 1.25968814e+000
-2.55101407e-003, 1.32686007e+000
-3.67346313e-003, 1.39028835e+000
-4.79591219e-003, 1.44495916e+000
-5.91836125e-003, 1.48614705e+000
-7.04081031e-003, 1.51132143e+000
-8.16325936e-003, 1.52261293e+000
-9.28570796e-003, 1.52647650e+000
-1.04081566e-002, 1.52787817e+000
-1.15306051e-002, 1.52864158e+000
-1.26530537e-002, 1.52917290e+000
-1.37755023e-002, 1.52956474e+000
-1.48979509e-002, 1.52985394e+000
-1.60204004e-002, 1.53006041e+000
-1.71428490e-002, 1.53020108e+000
-1.82652976e-002, 1.53028667e+000
-1.93877462e-002, 1.53032839e+000
-2.05101948e-002, 1.53033185e+000
-2.16326434e-002, 1.53030431e+000
-2.27550920e-002, 1.53024900e+000
-2.38775406e-002, 1.53017104e+000
-2.49999892e-002, 1.53007150e+000


%[Name]
%Series 5 at Line 5

%[Data]
%Y %[ m ],Velocity %[ m s^-1 ]
2.99999993e-002, 1.54919231e+000
2.88775507e-002, 1.54890060e+000
2.77551021e-002, 1.54858637e+000
2.66326535e-002, 1.54824865e+000
2.55102050e-002, 1.54788136e+000
2.43877564e-002, 1.54748285e+000
2.32653078e-002, 1.54704332e+000
2.21428592e-002, 1.54655933e+000
2.10204106e-002, 1.54601645e+000
1.98979620e-002, 1.54540515e+000
1.87755134e-002, 1.54468906e+000
1.76530648e-002, 1.54376769e+000
1.65306162e-002, 1.54201388e+000
1.54081676e-002, 1.53710663e+000
1.42857190e-002, 1.52290237e+000
1.31632704e-002, 1.49422216e+000
1.20408218e-002, 1.44979668e+000
1.09183732e-002, 1.39470220e+000
9.79592465e-003, 1.33432066e+000
8.67347606e-003, 1.27439058e+000
7.55102700e-003, 1.22007561e+000
6.42857794e-003, 1.17564857e+000
5.30612888e-003, 1.14543664e+000
4.18367982e-003, 1.13170087e+000
3.06123076e-003, 1.13601744e+000
1.93878182e-003, 1.15664065e+000
8.16332875e-004, 1.19103312e+000
-3.06116068e-004, 1.23521769e+000
-1.42856501e-003, 1.28567111e+000
-2.55101407e-003, 1.33862317e+000
-3.67346313e-003, 1.39055574e+000
-4.79591219e-003, 1.43795633e+000
-5.91836125e-003, 1.47739446e+000
-7.04081031e-003, 1.50616527e+000
-8.16325936e-003, 1.52334416e+000
-9.28570796e-003, 1.53122032e+000
-1.04081566e-002, 1.53399730e+000
-1.15306051e-002, 1.53492022e+000
-1.26530537e-002, 1.53528762e+000
-1.37755023e-002, 1.53545308e+000
-1.48979509e-002, 1.53550482e+000
-1.60204004e-002, 1.53547382e+000
-1.71428490e-002, 1.53537846e+000
-1.82652976e-002, 1.53523004e+000
-1.93877462e-002, 1.53503895e+000
-2.05101948e-002, 1.53481174e+000
-2.16326434e-002, 1.53455508e+000
-2.27550920e-002, 1.53427291e+000
-2.38775406e-002, 1.53396893e+000
-2.49999892e-002, 1.53364599e+000


%[Name]
%Series 6 at Line 6

%[Data]
%Y %[ m ],Velocity %[ m s^-1 ]
2.99999993e-002, 1.55336916e+000
2.88775507e-002, 1.55315292e+000
2.77551021e-002, 1.55291343e+000
2.66326535e-002, 1.55264878e+000
2.55102050e-002, 1.55235279e+000
2.43877564e-002, 1.55202305e+000
2.32653078e-002, 1.55165029e+000
2.21428592e-002, 1.55122888e+000
2.10204106e-002, 1.55073977e+000
1.98979620e-002, 1.55015314e+000
1.87755134e-002, 1.54930735e+000
1.76530648e-002, 1.54760790e+000
1.65306162e-002, 1.54286170e+000
1.54081676e-002, 1.53134525e+000
1.42857190e-002, 1.50877595e+000
1.31632704e-002, 1.47509360e+000
1.20408218e-002, 1.43231308e+000
1.09183732e-002, 1.38460135e+000
9.79592465e-003, 1.33563781e+000
8.67347606e-003, 1.28898454e+000
7.55102700e-003, 1.24799263e+000
6.42857794e-003, 1.21523845e+000
5.30612888e-003, 1.19340122e+000
4.18367982e-003, 1.18376791e+000
3.06123076e-003, 1.18741918e+000
1.93878182e-003, 1.20330870e+000
8.16332875e-004, 1.22988939e+000
-3.06116068e-004, 1.26445317e+000
-1.42856501e-003, 1.30456567e+000
-2.55101407e-003, 1.34751630e+000
-3.67346313e-003, 1.39079213e+000
-4.79591219e-003, 1.43185043e+000
-5.91836125e-003, 1.46818960e+000
-7.04081031e-003, 1.49757743e+000
-8.16325936e-003, 1.51840925e+000
-9.28570796e-003, 1.53073061e+000
-1.04081566e-002, 1.53648007e+000
-1.15306051e-002, 1.53859270e+000
-1.26530537e-002, 1.53922772e+000
-1.37755023e-002, 1.53936732e+000
-1.48979509e-002, 1.53932178e+000
-1.60204004e-002, 1.53917778e+000
-1.71428490e-002, 1.53896666e+000
-1.82652976e-002, 1.53870213e+000
-1.93877462e-002, 1.53839540e+000
-2.05101948e-002, 1.53805256e+000
-2.16326434e-002, 1.53768063e+000
-2.27550920e-002, 1.53728271e+000
-2.38775406e-002, 1.53686345e+000
-2.49999892e-002, 1.53642476e+000


%[Name]
%Series 7 at Line 7

%[Data]
%Y %[ m ],Velocity %[ m s^-1 ]
2.99999993e-002, 1.55294681e+000
2.88775507e-002, 1.55272377e+000
2.77551021e-002, 1.55247748e+000
2.66326535e-002, 1.55220580e+000
2.55102050e-002, 1.55190337e+000
2.43877564e-002, 1.55156720e+000
2.32653078e-002, 1.55118787e+000
2.21428592e-002, 1.55076063e+000
2.10204106e-002, 1.55026758e+000
1.98979620e-002, 1.54968333e+000
1.87755134e-002, 1.54887438e+000
1.76530648e-002, 1.54733729e+000
1.65306162e-002, 1.54307139e+000
1.54081676e-002, 1.53235590e+000
1.42857190e-002, 1.51052392e+000
1.31632704e-002, 1.47709286e+000
1.20408218e-002, 1.43393469e+000
1.09183732e-002, 1.38536942e+000
9.79592465e-003, 1.33523750e+000
8.67347606e-003, 1.28728688e+000
7.55102700e-003, 1.24503016e+000
6.42857794e-003, 1.21119308e+000
5.30612888e-003, 1.18860054e+000
4.18367982e-003, 1.17861390e+000
3.06123076e-003, 1.18235350e+000
1.93878182e-003, 1.19871485e+000
8.16332875e-004, 1.22605741e+000
-3.06116068e-004, 1.26155317e+000
-1.42856501e-003, 1.30266917e+000
-2.55101407e-003, 1.34660017e+000
-3.67346313e-003, 1.39074314e+000
-4.79591219e-003, 1.43246794e+000
-5.91836125e-003, 1.46918690e+000
-7.04081031e-003, 1.49860966e+000
-8.16325936e-003, 1.51915348e+000
-9.28570796e-003, 1.53102481e+000
-1.04081566e-002, 1.53639221e+000
-1.15306051e-002, 1.53830791e+000
-1.26530537e-002, 1.53887880e+000
-1.37755023e-002, 1.53900731e+000
-1.48979509e-002, 1.53896570e+000
-1.60204004e-002, 1.53882921e+000
-1.71428490e-002, 1.53862619e+000
-1.82652976e-002, 1.53837049e+000
-1.93877462e-002, 1.53807211e+000
-2.05101948e-002, 1.53773808e+000
-2.16326434e-002, 1.53737497e+000
-2.27550920e-002, 1.53698611e+000
-2.38775406e-002, 1.53657591e+000
-2.49999892e-002, 1.53614652e+000


